,Image_File,Class
0,20037.png,9
1,3975.png,0
2,49081.png,0
3,38678.png,3
4,59292.png,0
5,30224.png,2
6,27758.png,7
7,51816.png,2
8,29775.png,5
9,17843.png,5
10,26446.png,0
11,39566.png,9
12,16585.png,5
13,21329.png,5
14,27980.png,7
15,36655.png,9
16,22620.png,1
17,45863.png,0
18,32433.png,6
19,24251.png,4
20,8820.png,3
21,34042.png,1
22,14392.png,4
23,34724.png,8
24,9280.png,4
25,23258.png,3
26,24537.png,0
27,348.png,2
28,53967.png,4
29,15932.png,4
30,12085.png,5
31,25629.png,3
32,32355.png,6
33,1804.png,6
34,22146.png,0
35,39200.png,8
36,36133.png,5
37,20989.png,2
38,29013.png,1
39,26320.png,6
40,30542.png,6
41,10692.png,7
42,47912.png,9
43,31884.png,5
44,20751.png,9
45,58832.png,2
46,39214.png,7
47,36127.png,3
48,29007.png,0
49,31648.png,3
50,11598.png,3
51,26334.png,3
52,30556.png,7
53,28319.png,2
54,47906.png,2
55,4968.png,6
56,10686.png,6
57,58826.png,8
58,20745.png,3
59,31890.png,3
60,37239.png,5
61,34730.png,0
62,9294.png,5
63,24523.png,5
64,15926.png,0
65,53973.png,2
66,12091.png,0
67,32341.png,0
68,22152.png,4
69,1810.png,1
70,35348.png,3
71,15098.png,1
72,22634.png,6
73,45877.png,3
74,6819.png,1
75,32427.png,4
76,24245.png,4
77,8834.png,6
78,33739.png,1
79,34056.png,9
80,14386.png,1
81,49095.png,3
82,3961.png,5
83,20023.png,7
84,30230.png,9
85,59286.png,7
86,36899.png,1
87,17857.png,7
88,29761.png,9
89,58198.png,9
90,51802.png,9
91,26452.png,3
92,16591.png,2
93,39572.png,9
94,36641.png,3
95,27994.png,6
96,35360.png,4
97,44599.png,1
98,6831.png,1
99,25173.png,8
100,1186.png,8
101,33711.png,0
102,412.png,1
103,55494.png,1
104,23502.png,6
105,12907.png,8
106,54952.png,1
107,45687.png,9
108,37577.png,7
109,18594.png,8
110,3949.png,8
111,40927.png,9
112,38644.png,6
113,29991.png,6
114,19852.png,3
115,27764.png,1
116,28457.png,5
117,30218.png,4
118,57283.png,6
119,3791.png,7
120,31106.png,5
121,29749.png,5
122,47090.png,9
123,36669.png,2
124,21315.png,2
125,10876.png,2
126,4798.png,7
127,56823.png,6
128,21473.png,4
129,40099.png,1
130,31660.png,8
131,49903.png,7
132,27002.png,7
133,4940.png,5
134,28331.png,4
135,41387.png,2
136,37211.png,9
137,5486.png,1
138,51194.png,7
139,38122.png,4
140,23264.png,6
141,34718.png,9
142,374.png,7
143,33077.png,1
144,32369.png,8
145,43590.png,7
146,25615.png,1
147,1838.png,2
148,42856.png,8
